uuid,asset_1,asset_2,tp,sl,rolling_window_15m,open_threshold_multiplier,entry_z_threshold,zscore_sl_threshold,enabled
ARPA_HFT,ARPA/USDT:USDT,HFT/USDT:USDT,0.04,0.03,300,1.1,2.2,6,1
CYS_POPCAT,CYS/USDT:USDT,POPCAT/USDT:USDT,0.04,0.03,100,1.1,2.2,6,1
CYS_F,CYS/USDT:USDT,F/USDT:USDT,0.04,0.03,100,0.9,1.8,6,1
LPT_GMX,LPT/USDT:USDT,GMX/USDT:USDT,0.04,0.04,300,0.9,1.8,6,1
DASH_PENGU,DASH/USDT:USDT,PENGU/USDT:USDT,0.04,0.04,200,0.9,1.8,6,1
SNT_CVC,SNT/USDT:USDT,CVC/USDT:USDT,0.03,0.03,300,1.0,2.0,6,1
ACE_PUFFER,ACE/USDT:USDT,PUFFER/USDT:USDT,0.04,0.04,100,1.1,2.2,6,1
CHZ_MTL,CHZ/USDT:USDT,MTL/USDT:USDT,0.02,0.02,300,1.1,2.2,6,1
METIS_ARPA,METIS/USDT:USDT,ARPA/USDT:USDT,0.04,0.04,200,1.0,2.0,6,1
ARKM_INX,ARKM/USDT:USDT,INX/USDT:USDT,0.04,0.04,300,1.0,2.0,6,1
POLYX_MTL,POLYX/USDT:USDT,MTL/USDT:USDT,0.03,0.03,300,0.9,1.8,6,1
XMR_XVS,XMR/USDT:USDT,XVS/USDT:USDT,0.04,0.04,300,1.1,2.2,6,1
VET_CVC,VET/USDT:USDT,CVC/USDT:USDT,0.04,0.03,300,1.1,2.2,6,1
AXS_ICX,AXS/USDT:USDT,ICX/USDT:USDT,0.03,0.03,300,1.1,2.2,6,1
CHZ_STEEM,CHZ/USDT:USDT,STEEM/USDT:USDT,0.04,0.02,200,1.0,2.0,6,1
ONT_CVC,ONT/USDT:USDT,CVC/USDT:USDT,0.03,0.04,200,1.1,2.2,6,1
ONT_ICX,ONT/USDT:USDT,ICX/USDT:USDT,0.02,0.03,300,1.1,2.2,6,1
XVG_SNT,XVG/USDT:USDT,SNT/USDT:USDT,0.03,0.04,200,0.9,1.8,6,1
ORDI_GMX,ORDI/USDT:USDT,GMX/USDT:USDT,0.04,0.02,300,1.0,2.0,6,1
LUNA2_ACT,LUNA2/USDT:USDT,ACT/USDT:USDT,0.04,0.04,300,1.1,2.2,6,1
JUP_BAND,JUP/USDT:USDT,BAND/USDT:USDT,0.03,0.02,200,1.0,2.0,6,1
XTZ_SNT,XTZ/USDT:USDT,SNT/USDT:USDT,0.03,0.04,200,1.1,2.2,6,1
ONT_STEEM,ONT/USDT:USDT,STEEM/USDT:USDT,0.03,0.04,300,0.9,1.8,6,1
ANKR_WOO,ANKR/USDT:USDT,WOO/USDT:USDT,0.03,0.03,300,1.0,2.0,6,1
FLR_CVC,FLR/USDT:USDT,CVC/USDT:USDT,0.03,0.03,200,1.1,2.2,6,1
ATOM_10000SATS,ATOM/USDT:USDT,10000SATS/USDT:USDT,0.02,0.03,100,1.0,2.0,6,1
ARK_CVC,ARK/USDT:USDT,CVC/USDT:USDT,0.02,0.04,300,1.1,2.2,6,1
SAND_CVC,SAND/USDT:USDT,CVC/USDT:USDT,0.03,0.03,200,1.1,2.2,6,1
NEO_ANKR,NEO/USDT:USDT,ANKR/USDT:USDT,0.04,0.03,200,1.1,2.2,6,1
